Lab ID,Project,Site,Biota ID,Medium,QC type,Start date,Mass (g) (dry weight),% Lipid,Clothianidin ,ThiamethoxamD,Bifenthrin ,Desthiopro,Fluoxastrobin ,Ipconazole ,Metconazole ,Pentachloroanisole,Propiconazole,Pyraclostrobin ,Tebuconazole ,ppDDD  ,ppDDE ,ppDDT 
LS5942,AltEn tadpoles,D2,BT001,Tadpole,Environmental,11/7/2021,0.0454,NA,NA,8908.8,NA,109.2,NA,116.9,NA,NA,NA,NA,90.2,NA,NA,NA
LS5943,AltEn tadpoles,D2,BT002,Tadpole,Environmental,11/7/2021,0.0625,NA,NA,NA,NA,191.8,NA,85.7,NA,NA,NA,NA,71,NA,NA,NA
LS5944,AltEn tadpoles,D2,BT003,Tadpole,Environmental,11/7/2021,0.0724,NA,NA,39.8,5.5,151.4,NA,98.1,NA,NA,NA,NA,67.3,NA,NA,NA
LS5945,AltEn tadpoles,D2,BT004,Tadpole,Environmental,11/7/2021,0.0716,NA,NA,33.8,NA,157.1,NA,79.1,NA,NA,NA,NA,52.9,NA,NA,NA
LS5946,AltEn tadpoles,D2,BT005,Tadpole,Environmental,11/7/2021,0.0945,NA,NA,33.8,NA,123.9,2.8,110,NA,NA,NA,NA,74.6,NA,NA,NA
LS5947,AltEn tadpoles,D2,BT006,Tadpole,Environmental,11/7/2021,0.021,NA,NA,NA,NA,126.9,NA,108.6,NA,NA,NA,NA,77.1,NA,NA,NA
LS5948,AltEn tadpoles,D2,BT007,Tadpole,Environmental,11/7/2021,0.0924,NA,17.5,23.7,6.5,206.2,2.6,80.9,NA,NA,NA,NA,66.9,NA,NA,NA
LS5949,AltEn tadpoles,D2,BT008,Tadpole,Environmental,11/7/2021,0.1569,NA,17.9,18.6,7.6,200.8,2.8,71.2,NA,NA,NA,NA,65.2,NA,NA,NA
LS5950,AltEn tadpoles,D2,BT009,Tadpole,Environmental,11/7/2021,0.0739,NA,16.2,34.1,NA,189,NA,85.4,NA,NA,NA,NA,66.1,NA,NA,NA
LS5951,AltEn tadpoles,D2,BT010,Tadpole,Environmental,11/7/2021,0.056,NA,NA,43.4,NA,153.7,NA,100.4,NA,NA,NA,NA,64.8,NA,NA,NA
LS5952,AltEn tadpoles,D1,BT020,Tadpole,Environmental,11/7/2021,0.1065,NA,NA,NA,NA,93.9,NA,NA,NA,NA,NA,NA,NA,7.5,92,7.5
LS5953,AltEn tadpoles,D1,BT021,Tadpole,Environmental,11/7/2021,0.0846,NA,NA,NA,NA,85.4,NA,NA,NA,NA,NA,NA,NA,NA,73.3,9.5
LS5954,AltEn tadpoles,D1,BT022,Tadpole,Environmental,11/7/2021,0.0721,NA,NA,NA,NA,41.2,NA,NA,NA,NA,NA,NA,NA,NA,80.4,11.1
LS5955,AltEn tadpoles,D1,BT023,Tadpole,Environmental,11/7/2021,0.0739,NA,NA,NA,NA,45.5,NA,NA,NA,NA,NA,NA,NA,NA,83.9,13.5
