Lab ID,Project,Site,Biota ID,Lab Note,Medium,QC type,Start date,Mass (g) (dry weight),% Moisture,Acetochlor ,Atrazine ,Azoxystrobin ,Bifenthrin ,Carbendazim ,Clothianidin ,Cyfluthrin (all isomers),Cyproconazole ,Desthio-prothioconazole ,Flufenacet ,Fluxapyroxad ,Ipconazole ,Metolachlor (R and S),"p,p'-DDD  ","p,p'-DDE ","p,p'-DDT ",Pendimethalin ,Penoxsulam ,Propiconazole (cis and trans),Tebuconazole ,Tetraconazole ,Thiabendazole 
LS11003,AltEn Tadpoles 2024,K pond,3,BullFrogTadpole Development Stage: pre-25 (11/27/24 EML),Tadpole,Environmental,11/2/2023,0.1919,79.04,11.6,,,,,,,,3.1,,,5.2,,,,,,,0.3,4.9,,0.7
LS11015,AltEn Tadpoles 2024,N pond,15,BullFrogTadpole Development Stage: pre-25 (11/27/24 EML),Tadpole,Environmental,10/26/2023,0.0792,86.8,,,,,,,,,,,,,,1.5,7.9,,,,,,,
LS11016,AltEn Tadpoles 2024,N pond,16,BullFrogTadpole Development Stage: pre-25 (11/27/24 EML),Tadpole,Environmental,10/26/2023,0.1151,78.45,,,,,,,,,3.9,,,,,1.9,13.4,,,,,,,
LS11018,AltEn Tadpoles 2024,N pond,17,BullFrogTadpole Development Stage: pre-25 (11/27/24 EML),Tadpole,Environmental,10/26/2023,0.1464,77.85,,,,,,,,,1.1,,,,,1.8,12.8,,,,,,,
LS11031,AltEn Tadpoles 2024,NG pond_p2,30,BullFrogTadpole Development Stage: 30 (11/27/24 EML),Tadpole,Environmental,11/16/2023,0.215,83.66,,,,,,,,,0.2,,,0.7,,,,,,,0.5,0.8,,0.3
LS11032,AltEn Tadpoles 2024,NG pond_p2,31,BullFrogTadpole Development Stage: P25 (11/27/24 EML),Tadpole,Environmental,11/16/2023,0.2009,78.79,,,,,,,,,0.2,,,1.5,,,,,,,0.7,2.1,,
LS11033,AltEn Tadpoles 2024,NG pond_p2,32,BullFrogTadpole Development Stage: P25 (11/27/24 EML),Tadpole,Environmental,11/16/2023,0.185,76.94,,,,,,,,,0.4,,,1.4,,,,,,,0.6,1.7,,
LS11034,AltEn Tadpoles 2024,NG pond_p2,33,BullFrogTadpole Development Stage: P25 (11/27/24 EML),Tadpole,Environmental,11/16/2023,0.2148,80,,,,,,,,,0.2,,,0.8,,,,,,,0.4,1.1,,
LS11035,AltEn Tadpoles 2024,NG pond_p2,34,BullFrogTadpole Development Stage: P25 (11/27/24 EML),Tadpole,Environmental,11/16/2023,0.1098,74.81,,,,,,,,,,,,1.0,,,,,,,0.5,0.7,,
LS11001,AltEn Tadpoles 2024,K pond,1,BullFrogTadpole Development Stage: pre-25 (11/27/24 EML),Tadpole,Environmental,11/2/2023,0.2254,78.13,3.0,,,,,,,0.3,3.0,,,13.1,,,,,,,0.6,11.0,0.2,1.3
