"location_id","Rep","Crop","Grass","CPGC_SepDstL_cm"
"FAB_UNL_keystone","1","Corn","RhB",11.5
"FAB_UNL_keystone","1","Corn","RhB",25
"FAB_UNL_keystone","1","Corn","KBG",11
"FAB_UNL_keystone","1","Corn","KBG",13
"FAB_UNL_keystone","2","Corn","RhB",23.5
"FAB_UNL_keystone","2","Corn","RhB",37.5
"FAB_UNL_keystone","2","Corn","KBG",10.75
"FAB_UNL_keystone","2","Corn","KBG",9.5
"FAB_UNL_keystone","2","Soybean ","RhB",23.75
"FAB_UNL_keystone","2","Soybean ","RhB",14.5
"FAB_UNL_keystone","2","Soybean ","KBG",9
"FAB_UNL_keystone","2","Soybean ","KBG",2.5
"FAB_UNL_keystone","1","Soybean ","KBG",10.5
"FAB_UNL_keystone","1","Soybean ","KBG",11
"FAB_UNL_keystone","1","Soybean ","RhB",20.75
"FAB_UNL_keystone","1","Soybean ","RhB",8
"FAB_UNL_keystone","1","Corn","KBG",11.5
"FAB_UNL_keystone","1","Corn","KBG",12.5
"FAB_UNL_keystone","1","Corn","RhB",21.5
"FAB_UNL_keystone","1","Corn","RhB",14.5
"FAB_UNL_keystone","2","Corn","RhB",19
"FAB_UNL_keystone","2","Corn","RhB",25.5
"FAB_UNL_keystone","2","Corn","KBG",16.25
"FAB_UNL_keystone","2","Corn","KBG",12
"FAB_UNL_keystone","3","Corn","RhB",21
"FAB_UNL_keystone","3","Corn","RhB",15.5
"FAB_UNL_keystone","3","Corn","KBG",8.75
"FAB_UNL_keystone","3","Corn","KBG",14
"FAB_UNL_keystone","4","Corn","KBG",10.5
"FAB_UNL_keystone","4","Corn","KBG",9.5
"FAB_UNL_keystone","4","Corn","RhB",26.25
"FAB_UNL_keystone","4","Corn","RhB",30
"FAB_UNL_keystone","4","Corn","KBG",17
"FAB_UNL_keystone","4","Corn","KBG",7.5
"FAB_UNL_keystone","4","Corn","RhB",46.5
"FAB_UNL_keystone","4","Corn","RhB",18.5
"FAB_UNL_keystone","3","Corn","RhB",15
"FAB_UNL_keystone","3","Corn","RhB",17
"FAB_UNL_keystone","3","Corn","KBG",20.5
"FAB_UNL_keystone","3","Corn","KBG",20.5
"FAB_UNL_keystone","3","Soybean ","RhB",25.5
"FAB_UNL_keystone","3","Soybean ","RhB",11.5
"FAB_UNL_keystone","3","Soybean ","KBG",15.5
"FAB_UNL_keystone","3","Soybean ","KBG",14.5
"FAB_UNL_keystone","4","Soybean ","RhB",17
"FAB_UNL_keystone","4","Soybean ","RhB",13
"FAB_UNL_keystone","4","Soybean ","KBG",14
"FAB_UNL_keystone","4","Soybean ","KBG",12
"FAB_UNL_keystone","6","Corn","KBG",23
"FAB_UNL_keystone","6","Corn","KBG",8.5
"FAB_UNL_keystone","6","Corn","RhB",9.5
"FAB_UNL_keystone","6","Corn","RhB",19.5
"FAB_UNL_keystone","5","Corn","RhB",9.5
