"location_id","Rep","Corn_height_m"
"FAB_TLI_keystone",1,2.35
"FAB_TLI_keystone",1,2.18
"FAB_TLI_keystone",1,2.18
"FAB_TLI_keystone",1,2.25
"FAB_TLI_keystone",1,2.43
"FAB_TLI_keystone",1,2.33
"FAB_TLI_keystone",2,2.2
"FAB_TLI_keystone",2,2.08
"FAB_TLI_keystone",2,2.38
"FAB_TLI_keystone",2,2.13
"FAB_TLI_keystone",2,2.23
"FAB_TLI_keystone",2,2.08
"FAB_TLI_keystone",2,2.45
"FAB_TLI_keystone",2,2.23
"FAB_TLI_keystone",2,2.2
"FAB_TLI_keystone",2,2.38
"FAB_TLI_keystone",2,1.98
"FAB_TLI_keystone",2,2.13
"FAB_TLI_keystone",1,2.28
"FAB_TLI_keystone",1,2.3
"FAB_TLI_keystone",1,2.08
"FAB_TLI_keystone",1,2.2
"FAB_TLI_keystone",1,2.18
"FAB_TLI_keystone",1,2.43
"FAB_TLI_keystone",3,2.2
"FAB_TLI_keystone",3,2.15
"FAB_TLI_keystone",3,2.3
"FAB_TLI_keystone",3,2.35
"FAB_TLI_keystone",3,2.15
"FAB_TLI_keystone",3,2.35
"FAB_TLI_keystone",4,2.2
"FAB_TLI_keystone",4,2.35
"FAB_TLI_keystone",4,2.13
"FAB_TLI_keystone",4,2.2
"FAB_TLI_keystone",4,2.3
"FAB_TLI_keystone",4,2.5
"FAB_TLI_keystone",4,2.35
"FAB_TLI_keystone",4,2.13
"FAB_TLI_keystone",4,2.18
"FAB_TLI_keystone",4,2.05
"FAB_TLI_keystone",4,2.3
"FAB_TLI_keystone",4,2.15
"FAB_TLI_keystone",3,2.08
"FAB_TLI_keystone",3,2.25
"FAB_TLI_keystone",3,2.38
"FAB_TLI_keystone",3,2.23
"FAB_TLI_keystone",3,2.28
"FAB_TLI_keystone",3,2.15
"FAB_TLI_keystone",6,2.1
"FAB_TLI_keystone",6,1.85
"FAB_TLI_keystone",6,2.15
"FAB_TLI_keystone",6,2.3
"FAB_TLI_keystone",6,2.05
"FAB_TLI_keystone",6,2.23
"FAB_TLI_keystone",5,2.08
"FAB_TLI_keystone",5,2.28
"FAB_TLI_keystone",5,2.2
"FAB_TLI_keystone",5,2.38
"FAB_TLI_keystone",5,2.03
"FAB_TLI_keystone",5,2.18
"FAB_TLI_keystone",6,2.08
"FAB_TLI_keystone",6,2.23
"FAB_TLI_keystone",6,1.95
"FAB_TLI_keystone",6,2.08
"FAB_TLI_keystone",6,2.1
"FAB_TLI_keystone",6,2.13
"FAB_TLI_keystone",5,2.05
"FAB_TLI_keystone",5,2.13
"FAB_TLI_keystone",5,2.08
"FAB_TLI_keystone",5,2.25
"FAB_TLI_keystone",5,2.3
"FAB_TLI_keystone",5,2.13
"FAB_UNL_keystone",1,2.39
"FAB_UNL_keystone",1,2.33
"FAB_UNL_keystone",1,2.44
"FAB_UNL_keystone",1,2.43
"FAB_UNL_keystone",1,2.39
"FAB_UNL_keystone",1,2.46
"FAB_UNL_keystone",2,2.45
"FAB_UNL_keystone",2,2.58
"FAB_UNL_keystone",2,2.59
"FAB_UNL_keystone",2,2.58
"FAB_UNL_keystone",2,2.5
"FAB_UNL_keystone",2,2.38
"FAB_UNL_keystone",4,2.46
"FAB_UNL_keystone",4,2.42
"FAB_UNL_keystone",4,2.56
"FAB_UNL_keystone",4,2.42
"FAB_UNL_keystone",4,2.44
"FAB_UNL_keystone",4,2.47
"FAB_UNL_keystone",3,2.56
"FAB_UNL_keystone",3,2.38
"FAB_UNL_keystone",3,2.42
"FAB_UNL_keystone",3,2.61
"FAB_UNL_keystone",3,2.42
"FAB_UNL_keystone",3,2.47
"FAB_UNL_keystone",6,2.49
"FAB_UNL_keystone",6,2.64
"FAB_UNL_keystone",6,2.31
"FAB_UNL_keystone",6,2.38
"FAB_UNL_keystone",6,2.52
"FAB_UNL_keystone",6,2.51
"FAB_UNL_keystone",5,2.46
"FAB_UNL_keystone",5,2.39
"FAB_UNL_keystone",5,2.54
"FAB_UNL_keystone",5,2.48
"FAB_UNL_keystone",5,2.53
"FAB_UNL_keystone",5,2.42
"FAB_UNL_keystone",1,2.43
"FAB_UNL_keystone",1,2.39
"FAB_UNL_keystone",1,2.4
"FAB_UNL_keystone",1,2.36
"FAB_UNL_keystone",1,2.34
"FAB_UNL_keystone",1,2.36
"FAB_UNL_keystone",2,2.48
"FAB_UNL_keystone",2,2.57
"FAB_UNL_keystone",2,2.48
"FAB_UNL_keystone",2,2.49
"FAB_UNL_keystone",2,2.58
"FAB_UNL_keystone",2,2.63
"FAB_UNL_keystone",3,2.5
"FAB_UNL_keystone",3,2.49
"FAB_UNL_keystone",3,2.42
"FAB_UNL_keystone",3,2.4
"FAB_UNL_keystone",3,2.49
"FAB_UNL_keystone",3,2.5
"FAB_UNL_keystone",4,2.45
"FAB_UNL_keystone",4,2.44
"FAB_UNL_keystone",4,2.55
"FAB_UNL_keystone",4,2.58
"FAB_UNL_keystone",4,2.6
"FAB_UNL_keystone",4,2.44
"FAB_UNL_keystone",5,2.54
"FAB_UNL_keystone",5,2.34
"FAB_UNL_keystone",5,2.12
"FAB_UNL_keystone",5,2.09
"FAB_UNL_keystone",5,2.3
"FAB_UNL_keystone",5,2.22
"FAB_UNL_keystone",6,2.31
"FAB_UNL_keystone",6,2.12
"FAB_UNL_keystone",6,2.55
"FAB_UNL_keystone",6,2.56
"FAB_UNL_keystone",6,2.57
"FAB_UNL_keystone",6,2.39
