No,ExpNumber,Species,Isolates,Treatments ,Dilution,techRep,Full_Exp_Code,Exp_Code,  ,radial_growth,Measurement 1,Measurement 2,Measurement 3,Measurement 4,Dates,Comments
1,EXP5,Rhizoctonia solani,FELCC 26,DelaroComplete 3 active ingr (Proth+Trif+Fluop),Dilution1,Rep1,EXP5_FELCC 26_DelaroComplete 3 active ingr (Proth+Trif+Fluop)_Dilution1_Rep1,FR_EXP5_1,6.292,Layer1,1.988,2.202,1.786,2.19,07/10/2024-07/12/2024,
2,EXP5,Rhizoctonia solani,FELCC 26,DelaroComplete 3 active ingr (Proth+Trif+Fluop),Dilution1,Rep2,EXP5_FELCC 26_DelaroComplete 3 active ingr (Proth+Trif+Fluop)_Dilution1_Rep2,FR_EXP5_2,6.292,Layer1,1.158,1.68,1.298,1.226,07/10/2024-07/12/2025,
3,EXP5,Rhizoctonia solani,FELCC 26,DelaroComplete 3 active ingr (Proth+Trif+Fluop),Dilution1,Rep3,EXP5_FELCC 26_DelaroComplete 3 active ingr (Proth+Trif+Fluop)_Dilution1_Rep3,FR_EXP5_3,6.292,Layer1,0.904,0.846,1.068,1.479,07/10/2024-07/12/2026,
4,EXP5,Rhizoctonia solani,FELCC 26,DelaroComplete 3 active ingr (Proth+Trif+Fluop),Dilution2,Rep1,EXP5_FELCC 26_DelaroComplete 3 active ingr (Proth+Trif+Fluop)_Dilution2_Rep1,FR_EXP5_4,0.6292,Layer1,0,0,0,0,07/10/2024-07/12/2027,
5,EXP5,Rhizoctonia solani,FELCC 26,DelaroComplete 3 active ingr (Proth+Trif+Fluop),Dilution2,Rep2,EXP5_FELCC 26_DelaroComplete 3 active ingr (Proth+Trif+Fluop)_Dilution2_Rep2,FR_EXP5_5,0.6292,Layer1,0,0,0,0,07/10/2024-07/12/2028,
6,EXP5,Rhizoctonia solani,FELCC 26,DelaroComplete 3 active ingr (Proth+Trif+Fluop),Dilution2,Rep3,EXP5_FELCC 26_DelaroComplete 3 active ingr (Proth+Trif+Fluop)_Dilution2_Rep3,FR_EXP5_6,0.6292,Layer1,0,0,0,0,07/10/2024-07/12/2029,
7,EXP5,Rhizoctonia solani,FELCC 26,DelaroComplete 3 active ingr (Proth+Trif+Fluop),Dilution3,Rep1,EXP5_FELCC 26_DelaroComplete 3 active ingr (Proth+Trif+Fluop)_Dilution3_Rep1,FR_EXP5_7,0.06292,Layer1,0.794,0.564,1.183,0.9,07/10/2024-07/12/2030,
8,EXP5,Rhizoctonia solani,FELCC 26,DelaroComplete 3 active ingr (Proth+Trif+Fluop),Dilution3,Rep2,EXP5_FELCC 26_DelaroComplete 3 active ingr (Proth+Trif+Fluop)_Dilution3_Rep2,FR_EXP5_8,0.06292,Layer1,0.875,0.909,0.864,0.921,07/10/2024-07/12/2031,
9,EXP5,Rhizoctonia solani,FELCC 26,DelaroComplete 3 active ingr (Proth+Trif+Fluop),Dilution3,Rep3,EXP5_FELCC 26_DelaroComplete 3 active ingr (Proth+Trif+Fluop)_Dilution3_Rep3,FR_EXP5_9,0.06292,Layer1,1.009,0.813,0.954,1.108,07/10/2024-07/12/2032,
10,EXP5,Rhizoctonia solani,FELCC 26,DelaroComplete 3 active ingr (Proth+Trif+Fluop),ddH20,Rep1,EXP5_FELCC 26_DelaroComplete 3 active ingr (Proth+Trif+Fluop)_ddH20_Rep1,FR_EXP5_10,0,Layer1,14.206,16.519,14.293,11.525,07/10/2024-07/12/2033,
11,EXP5,Rhizoctonia solani,FELCC 26,DelaroComplete 3 active ingr (Proth+Trif+Fluop),ddH20,Rep2,EXP5_FELCC 26_DelaroComplete 3 active ingr (Proth+Trif+Fluop)_ddH20_Rep2,FR_EXP5_11,0,Layer1,6.957,6.908,5.497,10.935,07/10/2024-07/12/2034,
12,EXP5,Rhizoctonia solani,FELCC 26,DelaroComplete 3 active ingr (Proth+Trif+Fluop),ddH20,Rep3,EXP5_FELCC 26_DelaroComplete 3 active ingr (Proth+Trif+Fluop)_ddH20_Rep3,FR_EXP5_12,0,Layer1,14.244,6.713,13.461,17.418,07/10/2024-07/12/2035,
