Treatment,Concentration,Density
PBS,0,4.419
PBS,0,4.241
PBS,0,4.041
PBS,0,4.148
PBS,1,4.252
PBS,1,4.226
PBS,1,4.088
PBS,1,4.206
PBS,2,4.223
PBS,2,4.205
PBS,2,4.084
PBS,2,4.208
PBS,3,3.761
PBS,3,4.057
PBS,3,3.951
PBS,3,4.021
PBS,4,4.259
PBS,4,4.298
PBS,4,4.215
PBS,4,4.219
PBS,5,4.302
PBS,5,4.186
PBS,5,4.179
PBS,5,4.296
Coconut,0,4.391
Coconut,0,4.32
Coconut,0,4.242
Coconut,0,4.357
Coconut,1,4.406
Coconut,1,4.211
Coconut,1,4.135
Coconut,1,4.297
Coconut,2,4.216
Coconut,2,4.206
Coconut,2,4.153
Coconut,2,4.262
Coconut,3,4.228
Coconut,3,4.233
Coconut,3,4.189
Coconut,3,4.281
Coconut,4,4.254
Coconut,4,4.234
Coconut,4,4.038
Coconut,4,4.272
Coconut,5,4.256
Coconut,5,4.233
Coconut,5,4.057
Coconut,5,4.298
Chlohexidin,0,4.184
Chlohexidin,0,4.197
Chlohexidin,0,4.26
Chlohexidin,0,4.25
Chlohexidin,1,0.239
Chlohexidin,1,0.259
Chlohexidin,1,0.282
Chlohexidin,1,0.268
Chlohexidin,2,0.235
Chlohexidin,2,0.342
Chlohexidin,2,0.31
Chlohexidin,2,0.25
Chlohexidin,3,0.202
Chlohexidin,3,0.193
Chlohexidin,3,0.289
Chlohexidin,3,0.261
Chlohexidin,4,0.238
Chlohexidin,4,0.238
Chlohexidin,4,0.332
Chlohexidin,4,0.26
Chlohexidin,5,0.211
Chlohexidin,5,0.228
Chlohexidin,5,0.259
Chlohexidin,5,0.234
Nothing,0,0.164
Nothing,0,0.517
Nothing,0,0.15
Nothing,0,0.142
Nothing,1,0.195
Nothing,1,0.16
Nothing,1,0.273
Nothing,1,0.214
Nothing,2,0.191
Nothing,2,0.167
Nothing,2,0.286
Nothing,2,0.18
Nothing,3,0.229
Nothing,3,0.16
Nothing,3,3.016
Nothing,3,0.215
Nothing,4,0.263
Nothing,4,0.179
Nothing,4,0.387
Nothing,4,0.316
Nothing,5,0.439
Nothing,5,0.32
Nothing,5,1.168
Nothing,5,0.455
