obs    year    loc      plot   row     col     rep     iblk   entry      yield                                                                     
1       1       1       4001    5       1       1       1       1       4187.97                                                         
2       1       1       4002    5       2       1       1       2       3246.10                                                         
3       1       1       4003    5       3       1       2       3       2963.54                                                         
4       1       1       4004    5       4       1       2       4       4154.33                                                         
5       1       1       4005    5       5       1       3       5       4194.70                                                         
6       1       1       4006    5       6       1       3       6       4483.99                                                         
7       1       1       4007    5       7       1       4       7       4531.08                                                         
8       1       1       4008    5       8       1       4       8       4554.63                                                         
9       1       1       4009    5       9       1       5       9       5055.84                                                         
10      1       1       4010    5       10      1       5       10      4325.89                                                         
11      1       1       4011    5       11      1       6       11      4130.79                                                         
12      1       1       4012    5       12      1       6       12      4827.10                                                         
13      1       1       4013    5       13      1       7       13      5156.75                                                         
14      1       1       4014    5       14      1       7       14      4917.92                                                         
15      1       1       4015    5       15      1       8       15      5005.38                                                         
16      1       1       4016    5       16      1       8       16      5792.52                                                         
17      1       1       4017    5       17      1       9       17      5213.94                                                         
18      1       1       4018    5       18      1       9       18      4669.00                                                         
19      1       1       4019    5       19      1       10      19      5133.21                                                         
20      1       1       4020    5       20      1       10      20      5721.88                                                         
21      1       1       4021    4       20      1       11      21      4214.88                                                         
22      1       1       4022    4       19      1       11      22      6320.64                                                         
23      1       1       4023    4       18      1       12      23      4991.93                                                         
24      1       1       4024    4       17      1       12      24      3959.23                                                         
25      1       1       4025    4       16      1       13      25      4991.93                                                         
26      1       1       4026    4       15      1       13      26      6250.00                                                         
27      1       1       4027    4       14      1       14      27      5382.13                                                         
28      1       1       4028    4       13      1       14      28      5900.16                                                         
29      1       1       4029    4       12      1       15      29      6031.35                                                         
30      1       1       4030    4       11      1       15      30      6068.35                                                         
31      1       1       4031    4       10      2       16      3       3353.74                                                         
32      1       1       4032    4       9       2       16      25      4625.27                                                         
33      1       1       4033    4       8       2       17      15      4833.83                                                         
34      1       1       4034    4       7       2       17      11      3898.68                                                         
35      1       1       4035    4       6       2       18      9       4497.44                                                         
36      1       1       4036    4       5       2       18      6       5207.21                                                         
37      1       1       4037    4       4       2       19      17      5028.93                                                         
38      1       1       4038    4       3       2       19      23      4850.65                                                         
39      1       1       4039    4       2       2       20      24      3639.67                                                         
40      1       1       4040    4       1       2       20      13      3895.32                                                         
41      1       1       4041    3       1       2       21      19      5106.30                                                         
42      1       1       4042    3       2       2       21      16      6159.18                                                         
43      1       1       4043    3       3       2       22      21      3162.00                                                         
44      1       1       4044    3       4       2       22      1       4023.14                                                         
45      1       1       4045    3       5       2       23      28      5715.15                                                         
46      1       1       4046    3       6       2       23      26      6098.63                                                         
47      1       1       4047    3       7       2       24      18      4426.80                                                         
48      1       1       4048    3       8       2       24      8       4934.74                                                         
49      1       1       4049    3       9       2       25      7       4823.74                                                         
50      1       1       4050    3       10      2       25      29      6078.44                                                         
51      1       1       4051    3       11      2       26      22      6179.36                                                         
52      1       1       4052    3       12      2       26      30      6287.00                                                         
