"ID","Development_Treatment","Calan_Treatment","Pen","Initial_BW","Final_BW","Calving_Ease","Calf_Vigor","Sire","SEX","Final_Calf_BW"
600,"RANGE","DDG","4",947,1152,"1","1","2213","STR",1219
602,"stalks","CON","3",1004,1190,"2","1","1104","HFR",1329
604,"stalks","MET","4",1038,1188,"1","1","1104","HFR",1230
606,"stalks","CON","4",961,1009,"1","1","2213","HFR",1156
610,"RANGE","DDG","1",999,1151,"1","2","1616","STR",1270
611,"drylot","DDG","1",1020,1247,"1","1","2213","STR",1294
618,"stalks","DDG","3",1000,1229,"1","1","1104","STR",1349
620,"RANGE","MET","4",985,1198,"2","1","2213","STR",1357
622,"drylot","CON","1",1078,1216,"1","3","2213","STR",1229
634,"RANGE","MET","3",998,1218,"3","2","1104","STR",1294
637,"drylot","CON","4",956,1139,"1","1","1616","HFR",1087
638,"drylot","CON","2",911,1093,"2","1","2213","HFR",1295
640,"RANGE","MET","1",1002,1239,"1","1","1616","STR",1244
645,"drylot","MET","1",997,1222,"1","3","2213","HFR",1179
648,"RANGE","MET","2",974,1181,"1","1","1104","HFR",1038
650,"stalks","MET","3",1038,1187,"1","1","2213","HFR",1192
651,"drylot","DDG","2",1034,1242,"1","2","2213","STR",1356
652,"RANGE","CON","2",985,1133,"1","1","1104","STR",1237
653,"drylot","CON","4",1105,1216,"1","3","2213","HFR",1257
661,"stalks","MET","2",1010,1238,"1","1","2213","STR",1175
663,"stalks","CON","2",952,1026,"1","2","1104","HFR",1133
666,"stalks","DDG","2",974,1184,"1","1","1104","STR",1329
667,"drylot","MET","2",1035,1243,"1","1","2213","STR",1357
668,"RANGE","DDG","2",1052,1289,"1","3","1616","STR",1283
669,"drylot","DDG","4",988,1170,"1","3","1104","HFR",932
672,"drylot","DDG","3",1007,1147,"1","1","1616","HFR",1183
675,"RANGE","CON","3",962,1078,"1","1","1616","STR",1173
676,"RANGE","CON","4",944,1111,"1","1","1104","STR",1259
677,"RANGE","CON","1",981,1174,"1","1","1616","STR",1379
679,"drylot","CON","3",1067,1213,"1","1","2213","STR",1256
680,"drylot","MET","4",1064,1227,"1","3","1616","HFR",1137
682,"RANGE","MET","1",922,1144,"1","1","1616","HFR",1225
683,"stalks","MET","1",957,1155,"1","3","2213","HFR",1137
685,"stalks","DDG","1",991,1166,"1","1","2213","STR",1152
694,"stalks","DDG","4",961,1187,"1","1","1104","HFR",1283
695,"RANGE","DDG","2",957,1143,"1","3","1104","STR",1348
699,"drylot","MET","3",938,1129,"1","1","1616","HFR",1089
702,"DLHI","DDG","2",1047,1242,"1","1","1104","STR",1144
703,"RANGE","DDG","1",1026,1228,"1","1","2213","STR",1298
707,"DLHI","CON","2",1078,1190,"1","1","1104","STR",1373
709,"DLLO","CON","4",1116,1240,"1","1","2213","HFR",1240
710,"RANGE","DDG","3",979,1178,"1","1","1616","STR",1478
711,"DLLO","MET","1",963,1146,"1","1","1104","HFR",1294
723,"DLHI","CON","4",1003,1167,"1","1","1104","HFR",1346
725,"RANGE","CON","2",1008,1148,"2","1","1616","STR",1270
726,"DLHI","CON","1",1009,1095,"1","1","1616","HFR",1292
730,"DLLO","DDG","4",1010,1213,"1","1","1104","HFR",1502
731,"DLLO","DDG","3",1016,1212,"1","1","1616","STR",1283
738,"DLHI","DDG","1",1011,1229,"1","1","1104","STR",1365
747,"RANGE","MET","2",931,1139,"1","1","1104","STR",1379
752,"DLHI","MET","2",1001,1197,"1","1","1104","STR",1397
753,"DLLO","CON","1",1043,1223,"1","1","2213","HFR",1173
759,"DLLO","MET","4",936,1117,"1","1","2213","STR",1240
760,"RANGE","MET","4",932,1126,"1","1","1104","HFR",1171
761,"RANGE","CON","3",930,1108,"1","1","1104","HFR",1413
762,"DLLO","DDG","3",1085,1260,"1","1","1104","STR",1519
763,"RANGE","DDG","2",960,1141,"1","2","1616","HFR",1230
766,"DLHI","DDG","4",1031,1219,"1","1","2213","HFR",1262
