"location_id","trt_id","Rep","Grass","Crop","PGC_biomass_KgHa","Weed_biomass_KgHa"
"FAB_UNL_keystone","b1.cs.grn.rhb",1,"RhB","Corn",1000,647
"FAB_UNL_keystone","b1.cs.grn.kbg",1,"KBG","Corn",1077,187
"FAB_UNL_keystone","b1.cs.stv.rhb",2,"RhB","Corn",1359,0
"FAB_UNL_keystone","b1.cs.stv.kbg",2,"KBG","Corn",774,0
"FAB_UNL_keystone","b1.sc.stv.rhb",2,"RhB","Soybean",749,290
"FAB_UNL_keystone","b1.sc.stv.kbg",2,"KBG","Soybean",1001,711
"FAB_UNL_keystone","b1.sc.grn.kbg",1,"KBG","Soybean",344,99
"FAB_UNL_keystone","b1.sc.grn.rhb",1,"RhB","Soybean",515,0
"FAB_UNL_keystone","b1.cc.grn.kbg",1,"KBG","Corn",158,0
"FAB_UNL_keystone","b1.cc.grn.rhb",1,"RhB","Corn",240,0
"FAB_UNL_keystone","b1.cc.stv.rhb",2,"RhB","Corn",285,134
"FAB_UNL_keystone","b1.cc.stv.kbg",2,"KBG","Corn",328,146
"FAB_UNL_keystone","b2.cs.grn.rhb",3,"RhB","Corn",870,1007
"FAB_UNL_keystone","b2.cs.grn.kbg",3,"KBG","Corn",625,1368
"FAB_UNL_keystone","b2.cs.stv.kbg",4,"KBG","Corn",1068,112
"FAB_UNL_keystone","b2.cs.stv.rhb",4,"RhB","Corn",852,118
"FAB_UNL_keystone","b2.cc.stv.kbg",4,"KBG","Corn",536,393
"FAB_UNL_keystone","b2.cc.stv.rhb",4,"RhB","Corn",1118,106
"FAB_UNL_keystone","b2.cc.grn.rhb",3,"RhB","Corn",1007,41
"FAB_UNL_keystone","b2.cc.grn.kbg",3,"KBG","Corn",647,124
"FAB_UNL_keystone","b2.sc.grn.rhb",3,"RhB","Soybean",426,0
"FAB_UNL_keystone","b2.sc.grn.kbg",3,"KBG","Soybean",360,0
"FAB_UNL_keystone","b2.sc.stv.rhb",4,"RhB","Soybean",514,0
"FAB_UNL_keystone","b2.sc.stv.kbg",4,"KBG","Soybean",153,110
"FAB_UNL_keystone","b3.cc.stv.kbg",6,"KBG","Corn",247,370
"FAB_UNL_keystone","b3.cc.stv.rhb",6,"RhB","Corn",765,0
