"location_id","Replicate","Rotation","Stover","Grass_Trt","PGC_biomass_kgHA","Weed_biomass_kgHA"
"FAB_CTV_keystone","b1","cc","stv","kbg",0,1880.2
"FAB_CTV_keystone","b1","cc","stv","ctl",0,1845.4
"FAB_CTV_keystone","b1","cc","stv","rhb",894.3,912.9
"FAB_CTV_keystone","b1","cc","grn","kbg",337.1,620.5
"FAB_CTV_keystone","b1","cc","grn","ctl",0,400
"FAB_CTV_keystone","b1","cc","grn","rhb",0,1332.9
"FAB_CTV_keystone","b1","cs","stv","kbg",0,121.5
"FAB_CTV_keystone","b1","cs","stv","ctl",0,349.4
"FAB_CTV_keystone","b1","cs","stv","rhb",1089.9,5.4
"FAB_CTV_keystone","b1","cs","grn","kbg",365.7,152.2
"FAB_CTV_keystone","b1","cs","grn","ctl",0,79.7
"FAB_CTV_keystone","b1","cs","grn","rhb",0,951
"FAB_CTV_keystone","b1","sc","stv","kbg",0,498.5
"FAB_CTV_keystone","b1","sc","stv","ctl",0,425.9
"FAB_CTV_keystone","b1","sc","stv","rhb",740.2,0
"FAB_CTV_keystone","b1","sc","grn","kbg",0,364.8
"FAB_CTV_keystone","b1","sc","grn","ctl",0,1071.1
"FAB_CTV_keystone","b1","sc","grn","rhb",917.8,488.5
"FAB_CTV_keystone","b2","cc","stv","kbg",186.7,182.4
"FAB_CTV_keystone","b2","cc","stv","ctl",0,222.6
"FAB_CTV_keystone","b2","cc","stv","rhb",0,932.8
"FAB_CTV_keystone","b2","cc","grn","kbg",1121.2,0
"FAB_CTV_keystone","b2","cc","grn","ctl",0,244.8
"FAB_CTV_keystone","b2","cc","grn","rhb",0,1.3
"FAB_CTV_keystone","b2","cs","stv","kbg",285.7,0
"FAB_CTV_keystone","b2","cs","stv","ctl",0,68.8
"FAB_CTV_keystone","b2","cs","stv","rhb",1263.9,45.2
"FAB_CTV_keystone","b2","cs","grn","kbg",0,548.6
"FAB_CTV_keystone","b2","cs","grn","ctl",0,142.7
