rep,fat,pressure,anti,y
1,5,300,1,0.00457
1,5,300,2,0.00457
1,5,450,1,2.0901158597
1,5,450,2,0.00457
1,5,600,1,0.00457
1,5,600,2,0.5428534917
1,15,300,1,4.6344633791
1,15,300,2,0.7763519106
1,15,450,1,5.7781805308
1,15,450,2,9.186016303
1,15,600,1,10.505448505
1,15,600,2,8.8894188516
1,25,300,1,0.00457
1,25,300,2,1.8960322978
1,25,450,1,3.0023801273
1,25,450,2,0.00457
1,25,600,1,7.1887220368
1,25,600,2,5.1211717369
2,5,300,1,4.1669263882
2,5,300,2,0.00457
2,5,450,1,5.8775842276
2,5,450,2,5.4650198474
2,5,600,1,4.6199588602
2,5,600,2,6.024167356
2,15,300,1,1.3770052901
2,15,300,2,0.00457
2,15,450,1,0.00457
2,15,450,2,0.7126332332
2,15,600,1,2.1821377876
2,15,600,2,2.148385245
2,25,300,1,0.00457
2,25,300,2,0.00457
2,25,450,1,0.00457
2,25,450,2,0.00457
2,25,600,1,2.915014093
2,25,600,2,1.8234823312
3,5,300,1,1.0196098537
3,5,300,2,2.8195560751
3,5,450,1,0.8194039822
3,5,450,2,1.2571347915
3,5,600,1,0.00457
3,5,600,2,0.00457
3,15,300,1,0.00457
3,15,300,2,0.00457
3,15,450,1,0.00457
3,15,450,2,1.8300497044
3,15,600,1,4.7808257494
3,15,600,2,3.8105203394
3,25,300,1,3.1953715353
3,25,300,2,0.00457
3,25,450,1,1.4613160276
3,25,450,2,3.8429225871
3,25,600,1,5.3496028781
3,25,600,2,4.9141131001
4,5,300,1,4.9879212399
4,5,300,2,7.8302986018
4,5,450,1,6.4235768114
4,5,450,2,6.5333037352
4,5,600,1,2.8191884001
4,5,600,2,4.4796590051
4,15,300,1,2.3676556558
4,15,300,2,0.00457
4,15,450,1,0.00457
4,15,450,2,2.0917090999
4,15,600,1,4.0333336566
4,15,600,2,9.5637321384
4,25,300,1,0.662621691
4,25,300,2,2.1259450077
4,25,450,1,1.9015927816
4,25,450,2,4.2521574268
4,25,600,1,4.605339828
4,25,600,2,7.6706428563
5,5,300,1,0.00457
5,5,300,2,0.00457
5,5,450,1,0.00457
5,5,450,2,0.00457
5,5,600,1,0.00457
5,5,600,2,0.00457
5,15,300,1,0.026939833
5,15,300,2,0.3867958699
5,15,450,1,0.0599175036
5,15,450,2,3.2783596545
5,15,600,1,3.1948839453
5,15,600,2,4.5678909135
5,25,300,1,2.5558456209
5,25,300,2,2.1267045461
5,25,450,1,5.5972555005
5,25,450,2,6.9593750999
5,25,600,1,9.012657162
5,25,600,2,8.6564558973
6,5,300,1,5.2014351493
6,5,300,2,0.3975230815
6,5,450,1,1.4651830109
6,5,450,2,3.204848311
6,5,600,1,1.4327646618
6,5,600,2,2.8031203081
6,15,300,1,1.1153875301
6,15,300,2,2.3778780537
6,15,450,1,0.00457
6,15,450,2,5.1039673621
6,15,600,1,2.2740263193
6,15,600,2,5.9671191426
6,25,300,1,0.7919583616
6,25,300,2,5.14114589
6,25,450,1,2.5887396646
6,25,450,2,5.4816908552
6,25,600,1,11.766174166
6,25,600,2,9.7766056897
7,5,300,1,0.00457
7,5,300,2,0.4693177791
7,5,450,1,3.4160292798
7,5,450,2,0.00457
7,5,600,1,0.00457
7,5,600,2,0.00457
7,15,300,1,1.3716778617
7,15,300,2,0.00457
7,15,450,1,0.00457
7,15,450,2,3.214810592
7,15,600,1,6.8988670454
7,15,600,2,3.6147240294
7,25,300,1,0.8858023984
7,25,300,2,2.9990139148
7,25,450,1,3.5837784245
7,25,450,2,8.0875388581
7,25,600,1,6.1456881153
7,25,600,2,8.5046034232
8,5,300,1,0.00457
8,5,300,2,4.1132986649
8,5,450,1,2.7076566042
8,5,450,2,0.00457
8,5,600,1,0.7225922394
8,5,600,2,0.8680930892
8,15,300,1,0.00457
8,15,300,2,0.00457
8,15,450,1,0.00457
8,15,450,2,2.7386069392
8,15,600,1,1.3768524453
8,15,600,2,2.1998867003
8,25,300,1,0.00457
8,25,300,2,1.1531133928
8,25,450,1,1.2356236712
8,25,450,2,0.8721625494
8,25,600,1,5.35556229
8,25,600,2,8.1263540178
9,5,300,1,0.00457
9,5,300,2,0.00457
9,5,450,1,0.00457
9,5,450,2,0.00457
9,5,600,1,2.4501505174
9,5,600,2,0.00457
9,15,300,1,0.00457
9,15,300,2,0.00457
9,15,450,1,0.00457
9,15,450,2,6.1736890919
9,15,600,1,6.1862706614
9,15,600,2,5.2525032169
9,25,300,1,3.9385847146
9,25,300,2,2.3426423821
9,25,450,1,0.1685147649
9,25,450,2,3.8990271985
9,25,600,1,6.3246314556
9,25,600,2,7.0230013031
10,5,300,1,1.6752925616
10,5,300,2,1.1024222119
10,5,450,1,3.4991723836
10,5,450,2,3.7095295345
10,5,600,1,3.6749066896
10,5,600,2,0.0702204796
10,15,300,1,0.00457
10,15,300,2,0.2077290706
10,15,450,1,0.00457
10,15,450,2,3.0991136887
10,15,600,1,5.7345119044
10,15,600,2,3.587934788
10,25,300,1,0.00457
10,25,300,2,0.00457
10,25,450,1,0.00457
10,25,450,2,0.00457
10,25,600,1,2.3973642915
10,25,600,2,3.0532373356
11,5,300,1,1.492535302
11,5,300,2,0.00457
11,5,450,1,0.00457
11,5,450,2,0.5716506902
11,5,600,1,0.2422395371
11,5,600,2,2.6808829911
11,15,300,1,0.00457
11,15,300,2,0.6085016864
11,15,450,1,0.9805976853
11,15,450,2,3.9640084488
11,15,600,1,3.2272138033
11,15,600,2,2.3837170874
11,25,300,1,6.0179521994
11,25,300,2,3.6622550863
11,25,450,1,7.2598185547
11,25,450,2,3.1648978173
11,25,600,1,13.871390292
11,25,600,2,10.002908702
12,5,300,1,0.00457
12,5,300,2,1.1012373034
12,5,450,1,0.00457
12,5,450,2,0.00457
12,5,600,1,0.00457
12,5,600,2,0.00457
12,15,300,1,1.6383079045
12,15,300,2,1.6791477559
12,15,450,1,0.00457
12,15,450,2,10.464283346
12,15,600,1,4.4874496846
12,15,600,2,4.0424397347
12,25,300,1,0.00457
12,25,300,2,0.00457
12,25,450,1,0.00457
12,25,450,2,0.00457
12,25,600,1,6.3258482043
12,25,600,2,0.681059552
13,5,300,1,3.6893395792
13,5,300,2,5.232725216
13,5,450,1,7.3523720369
13,5,450,2,9.7381838415
13,5,600,1,5.859870477
13,5,600,2,8.500641206
13,15,300,1,0.00457
13,15,300,2,2.2989545209
13,15,450,1,2.9098105443
13,15,450,2,4.3646716149
13,15,600,1,8.0726589993
13,15,600,2,9.2474388887
13,25,300,1,0.00457
13,25,300,2,2.9579995715
13,25,450,1,7.0665937485
13,25,450,2,3.5921744514
13,25,600,1,6.8713326234
13,25,600,2,2.0992308616
14,5,300,1,0.00457
14,5,300,2,0.00457
14,5,450,1,0.00457
14,5,450,2,1.376911759
14,5,600,1,0.5737588021
14,5,600,2,2.7898983382
14,15,300,1,0.633253667
14,15,300,2,0.00457
14,15,450,1,0.00457
14,15,450,2,5.6554934194
14,15,600,1,6.9429511454
14,15,600,2,2.603816231
14,25,300,1,2.3944108198
14,25,300,2,0.9168570751
14,25,450,1,3.7013558795
14,25,450,2,4.6870546804
14,25,600,1,6.0479770897
14,25,600,2,6.8667863876
15,5,300,1,1.1498494411
15,5,300,2,6.7345837929
15,5,450,1,1.104270789
15,5,450,2,1.4915175153
15,5,600,1,0.4851625427
15,5,600,2,0.4510202924
15,15,300,1,0.124693226
15,15,300,2,0.00457
15,15,450,1,0.00457
15,15,450,2,5.7083985928
15,15,600,1,5.976097493
15,15,600,2,4.327092785
15,25,300,1,4.0841776176
15,25,300,2,2.8705864113
15,25,450,1,9.8476474705
15,25,450,2,9.492211655
15,25,600,1,6.3337627277
15,25,600,2,14.922033975
16,5,300,1,3.3819561002
16,5,300,2,5.4809401586
16,5,450,1,5.8486950915
16,5,450,2,2.6785499645
16,5,600,1,9.2603327621
16,5,600,2,0.00457
16,15,300,1,0.00457
16,15,300,2,0.9216653627
16,15,450,1,0.00457
16,15,450,2,2.4344821047
16,15,600,1,3.1655973586
16,15,600,2,9.681850674
16,25,300,1,0.00457
16,25,300,2,0.00457
16,25,450,1,1.4843662449
16,25,450,2,2.7970876638
16,25,600,1,2.778778608
16,25,600,2,4.8767300787
17,5,300,1,0.00457
17,5,300,2,0.00457
17,5,450,1,0.00457
17,5,450,2,0.00457
17,5,600,1,0.00457
17,5,600,2,0.00457
17,15,300,1,0.00457
17,15,300,2,0.00457
17,15,450,1,0.00457
17,15,450,2,2.3901699701
17,15,600,1,2.5986923214
17,15,600,2,0.8479964301
17,25,300,1,1.9316253906
17,25,300,2,0.4349549912
17,25,450,1,3.2719785252
17,25,450,2,4.9480473185
17,25,600,1,7.932071964
17,25,600,2,4.6522384029
18,5,300,1,1.4449423214
18,5,300,2,2.6857835622
18,5,450,1,4.3509357667
18,5,450,2,3.0640209402
18,5,600,1,3.5317098643
18,5,600,2,4.3570946314
18,15,300,1,1.8571550544
18,15,300,2,0.5393125148
18,15,450,1,2.0625527573
18,15,450,2,1.5134304661
18,15,600,1,6.7629271969
18,15,600,2,2.9194413245
18,25,300,1,3.4183681589
18,25,300,2,3.1664037249
18,25,450,1,4.6913268486
18,25,450,2,3.9325698976
18,25,600,1,12.064801481
18,25,600,2,11.92980279
