Temperature,Site,Specices,Collection_date,Dev_stage,Mass (g) (dry weight),% Moisture,% Lipid, Acetochlor  , Atrazine , Azoxystrobin  , Clothianidin  , Carbendazim  , Cyfluthrin (all isomers) , Cyproconazole  , Bifenthrin  , Desthiopro , Dithiopyr  , Flufenacet  , Fluoxastrobin  , Fluxapyroxad  , Ipconazole  , Metolachlor (R and S) , Metconazole  , Pendimethalin  , Pentachloroanisole , Propiconazole , Pyraclostrobin  , Tebuconazole  , Penoxsulam  , ppDDD   , ppDDE  , ppDDT  , Tetraconazole  , Thiabendazole  , ThiamethoxamD 
21.01,Kpond,BullFrogTadpole,11/7/2021,ND,0.0454,78.7,, 0.1 , 0.1 , 0.1 , 0.1 , 0.1 , 0.1 , 0.1 , 0.1 , 23.3 , 0.1 , 0.1 , 0.1 , 0.1 , 24.9 , 0.1 , 0.1 , 0.1 , 0.1 , 0.1 , 0.1 , 19.2 , 0.1 , 0.1 , 0.1 , 0.1 , 0.1 , 0.1 ," 1,897.6 "
21.01,Kpond,BullFrogTadpole,11/7/2021,ND,0.0625,78.7,, 0.1 , 0.1 , 0.1 , 0.1 , 0.1 , 0.1 , 0.1 , 0.1 , 40.9 , 0.1 , 0.1 , 0.1 , 0.1 , 18.3 , 0.1 , 0.1 , 0.1 , 0.1 , 0.1 , 0.1 , 15.1 , 0.1 , 0.1 , 0.1 , 0.1 , 0.1 , 0.1 , 0.1 
21.01,Kpond,BullFrogTadpole,11/7/2021,ND,0.0724,78.7,, 0.1 , 0.1 , 0.1 , 0.1 , 0.1 , 0.1 , 0.1 , 1.2 , 32.2 , 0.1 , 0.1 , 0.1 , 0.1 , 20.9 , 0.1 , 0.1 , 0.1 , 0.1 , 0.1 , 0.1 , 14.3 , 0.1 , 0.1 , 0.1 , 0.1 , 0.1 , 0.1 , 8.5 
21.01,Kpond,BullFrogTadpole,11/7/2021,ND,0.0716,78.7,, 0.1 , 0.1 , 0.1 , 0.1 , 0.1 , 0.1 , 0.1 , 0.1 , 33.5 , 0.1 , 0.1 , 0.1 , 0.1 , 16.8 , 0.1 , 0.1 , 0.1 , 0.1 , 0.1 , 0.1 , 11.3 , 0.1 , 0.1 , 0.1 , 0.1 , 0.1 , 0.1 , 7.2 
21.01,Kpond,BullFrogTadpole,11/7/2021,ND,0.0945,78.7,, 0.1 , 0.1 , 0.1 , 0.1 , 0.1 , 0.1 , 0.1 , 0.1 , 26.4 , 0.1 , 0.1 , 0.1 , 0.1 , 23.4 , 0.1 , 0.1 , 0.1 , 0.1 , 0.1 , 0.1 , 15.9 , 0.1 , 0.1 , 0.1 , 0.1 , 0.1 , 0.1 , 7.2 
21.01,Kpond,BullFrogTadpole,11/7/2021,ND,0.021,78.7,, 0.1 , 0.1 , 0.1 , 0.1 , 0.1 , 0.1 , 0.1 , 0.1 , 27.0 , 0.1 , 0.1 , 0.6 , 0.1 , 23.1 , 0.1 , 0.1 , 0.1 , 0.1 , 0.1 , 0.1 , 16.4 , 0.1 , 0.1 , 0.1 , 0.1 , 0.1 , 0.1 , 0.1 
21.01,Kpond,BullFrogTadpole,11/7/2021,ND,0.0924,78.7,, 0.1 , 0.1 , 0.1 , 3.7 , 0.1 , 0.1 , 0.1 , 1.4 , 43.9 , 0.1 , 0.1 , 0.6 , 0.1 , 17.2 , 0.1 , 0.1 , 0.1 , 0.1 , 0.1 , 0.1 , 14.2 , 0.1 , 0.1 , 0.1 , 0.1 , 0.1 , 0.1 , 5.0 
21.01,Kpond,BullFrogTadpole,11/7/2021,ND,0.1569,78.7,, 0.1 , 0.1 , 0.1 , 3.8 , 0.1 , 0.1 , 0.1 , 1.6 , 42.8 , 0.1 , 0.1 , 0.6 , 0.1 , 15.2 , 0.1 , 0.1 , 0.1 , 0.1 , 0.1 , 0.1 , 13.9 , 0.1 , 0.1 , 0.1 , 0.1 , 0.1 , 0.1 , 4.0 
21.01,Kpond,BullFrogTadpole,11/7/2021,ND,0.0739,78.7,, 0.1 , 0.1 , 0.1 , 3.5 , 0.1 , 0.1 , 0.1 , 0.1 , 40.3 , 0.1 , 0.1 , 0.1 , 0.1 , 18.2 , 0.1 , 0.1 , 0.1 , 0.1 , 0.1 , 0.1 , 14.1 , 0.1 , 0.1 , 0.1 , 0.1 , 0.1 , 0.1 , 7.3 
21.01,Kpond,BullFrogTadpole,11/7/2021,ND,0.056,78.7,, 0.1 , 0.1 , 0.1 , 0.1 , 0.1 , 0.1 , 0.1 , 0.1 , 32.7 , 0.1 , 0.1 , 0.1 , 0.1 , 21.4 , 0.1 , 0.1 , 0.1 , 0.1 , 0.1 , 0.1 , 13.8 , 0.1 , 0.1 , 0.1 , 0.1 , 0.1 , 0.1 , 9.2 
21.01,Npond,BullFrogTadpole,11/7/2021,ND,0.1065,78.7,, 0.1 , 0.1 , 0.1 , 0.1 , 0.1 , 0.1 , 0.1 , 0.1 , 20.0 , 0.1 , 0.1 , 0.1 , 0.1 , 0.1 , 0.1 , 0.1 , 0.1 , 0.1 , 0.1 , 0.1 , 0.1 , 0.1 , 1.6 , 19.6 , 1.6 , 0.1 , 0.1 , 0.1 
21.01,Npond,BullFrogTadpole,11/7/2021,ND,0.0846,78.7,, 0.1 , 0.1 , 0.1 , 0.1 , 0.1 , 0.1 , 0.1 , 0.1 , 18.2 , 0.1 , 0.1 , 0.1 , 0.1 , 0.1 , 0.1 , 0.1 , 0.1 , 0.1 , 0.1 , 0.1 , 0.1 , 0.1 , 0.1 , 15.6 , 2.0 , 0.1 , 0.1 , 0.1 
21.01,Npond,BullFrogTadpole,11/7/2021,ND,0.0721,78.7,, 0.1 , 0.1 , 0.1 , 0.1 , 0.1 , 0.1 , 0.1 , 0.1 , 8.8 , 0.1 , 0.1 , 0.1 , 0.1 , 0.1 , 0.1 , 0.1 , 0.1 , 0.1 , 0.1 , 0.1 , 0.1 , 0.1 , 0.1 , 17.1 , 2.4 , 0.1 , 0.1 , 0.1 
21.01,Npond,BullFrogTadpole,11/7/2021,ND,0.0739,78.7,, 0.1 , 0.1 , 0.1 , 0.1 , 0.1 , 0.1 , 0.1 , 0.1 , 9.7 , 0.1 , 0.1 , 0.1 , 0.1 , 0.1 , 0.1 , 0.1 , 0.1 , 0.1 , 0.1 , 0.1 , 0.1 , 0.1 , 0.1 , 17.9 , 2.9 , 0.1 , 0.1 , 0.1 
21.01,Npond,BullFrogTadpole,11/7/2021,ND,0.0689,78.7,, 0.1 , 0.1 , 0.1 , 0.1 , 0.1 , 0.1 , 0.1 , 0.1 , 14.7 , 0.1 , 0.1 , 0.1 , 0.1 , 0.1 , 0.1 , 0.1 , 0.1 , 0.1 , 0.1 , 0.1 , 0.1 , 0.1 , 0.1 , 15.5 , 0.1 , 0.1 , 0.1 , 0.1 
21.01,Npond,BullFrogTadpole,11/7/2021,ND,0.0469,78.7,, 0.1 , 0.1 , 0.1 , 0.1 , 0.1 , 0.1 , 0.1 , 0.1 , 14.4 , 0.1 , 0.1 , 0.1 , 0.1 , 0.1 , 0.1 , 0.1 , 0.1 , 0.1 , 0.1 , 0.1 , 0.1 , 0.1 , 0.1 , 13.6 , 0.1 , 0.1 , 0.1 , 0.1 
21.01,Npond,BullFrogTadpole,11/7/2021,ND,0.0806,78.7,, 0.1 , 0.1 , 0.1 , 0.1 , 0.1 , 0.1 , 0.1 , 0.1 , 12.8 , 0.1 , 0.1 , 0.1 , 0.1 , 0.1 , 0.1 , 0.1 , 0.1 , 0.1 , 0.1 , 0.1 , 0.1 , 0.1 , 0.1 , 19.0 , 2.1 , 0.1 , 0.1 , 0.1 
21.01,Npond,BullFrogTadpole,11/7/2021,ND,0.0548,78.7,, 0.1 , 0.1 , 0.1 , 0.1 , 0.1 , 0.1 , 0.1 , 0.1 , 12.5 , 0.1 , 0.1 , 0.1 , 0.1 , 0.1 , 0.1 , 0.1 , 0.1 , 0.1 , 0.1 , 0.1 , 0.1 , 0.1 , 0.1 , 30.3 , 4.7 , 0.1 , 0.1 , 0.1 
21.01,Npond,BullFrogTadpole,11/7/2021,ND,0.1369,78.7,, 0.1 , 0.1 , 0.1 , 0.1 , 0.1 , 0.1 , 0.1 , 0.1 , 12.4 , 0.1 , 0.1 , 0.1 , 0.1 , 0.1 , 0.1 , 0.1 , 0.1 , 0.1 , 0.1 , 0.1 , 0.1 , 0.1 , 1.9 , 19.0 , 1.2 , 0.1 , 0.1 , 0.1 
21.01,Npond,BullFrogTadpole,11/7/2021,ND,0.1102,78.7,, 0.1 , 0.1 , 0.1 , 0.1 , 0.1 , 0.1 , 0.1 , 0.1 , 17.3 , 0.1 , 0.1 , 0.1 , 0.1 , 0.1 , 0.1 , 0.1 , 0.1 , 0.1 , 0.1 , 0.1 , 0.1 , 0.1 , 1.2 , 16.6 , 1.6 , 0.1 , 0.1 , 0.1 
23.13,Zpond,BullFrogTadpole,11/8/2021,ND,0.0086,78.7,, 0.1 , 0.1 , 0.1 , 0.1 , 0.1 , 0.1 , 0.1 , 0.1 , 0.1 , 0.1 , 0.1 , 0.1 , 0.1 , 0.1 , 0.1 , 0.1 , 0.1 , 0.1 , 0.1 , 0.1 , 0.1 , 0.1 , 0.1 , 0.1 , 0.1 , 0.1 , 0.1 , 0.1 
23.13,Zpond,BullFrogTadpole,11/8/2021,ND,0.0543,78.7,, 0.1 , 0.1 , 0.1 , 0.1 , 0.1 , 0.1 , 0.1 , 0.1 , 0.1 , 0.1 , 0.1 , 0.1 , 0.1 , 0.1 , 0.1 , 0.1 , 0.1 , 0.1 , 0.1 , 0.1 , 0.1 , 0.1 , 0.1 , 0.1 , 0.1 , 0.1 , 0.1 , 0.1 
23.13,Zpond,BullFrogTadpole,11/8/2021,ND,0.019,78.7,, 0.1 , 0.1 , 0.1 , 0.1 , 0.1 , 0.1 , 0.1 , 0.1 , 0.1 , 0.1 , 0.1 , 0.1 , 0.1 , 0.1 , 0.1 , 0.1 , 0.1 , 0.1 , 0.1 , 0.1 , 0.1 , 0.1 , 0.1 , 0.1 , 0.1 , 0.1 , 0.1 , 0.1 
23.13,Zpond,BullFrogTadpole,11/8/2021,ND,0.0604,78.7,, 0.1 , 0.1 , 0.1 , 0.1 , 0.1 , 0.1 , 0.1 , 0.1 , 0.1 , 0.1 , 0.1 , 0.1 , 0.1 , 0.1 , 0.1 , 0.1 , 0.1 , 0.1 , 0.1 , 0.1 , 0.1 , 0.1 , 0.1 , 0.1 , 0.1 , 0.1 , 0.1 , 0.1 
