Temperature,Site,Specices,Collection_date,Dev_stage,Mass (g) (dry weight),% Moisture,% Lipid,Acetochlor ,Atrazine,Azoxystrobin ,Clothianidin ,Carbendazim ,Cyfluthrin (all isomers),Cyproconazole ,Bifenthrin ,Desthiopro,Dithiopyr ,Flufenacet ,Fluoxastrobin ,Fluxapyroxad ,Ipconazole ,Metolachlor (R and S),Metconazole ,Pendimethalin ,Pentachloroanisole,Propiconazole,Pyraclostrobin ,Tebuconazole ,Penoxsulam ,ppDDD  ,ppDDE ,ppDDT ,Tetraconazole ,Thiabendazole ,ThiamethoxamD
21.01,Kpond,BullFrogTadpole,11/7/2021,ND,0.0454,ND,NA,NA,NA,NA,NA,NA,NA,NA,NA,109.2,NA,NA,NA,NA,116.9,NA,NA,NA,NA,NA,NA,90.2,NA,NA,NA,NA,NA,NA,8908.8
21.01,Kpond,BullFrogTadpole,11/7/2021,ND,0.0625,ND,NA,NA,NA,NA,NA,NA,NA,NA,NA,191.8,NA,NA,NA,NA,85.7,NA,NA,NA,NA,NA,NA,71,NA,NA,NA,NA,NA,NA,NA
21.01,Kpond,BullFrogTadpole,11/7/2021,ND,0.0724,ND,NA,NA,NA,NA,NA,NA,NA,NA,5.5,151.4,NA,NA,NA,NA,98.1,NA,NA,NA,NA,NA,NA,67.3,NA,NA,NA,NA,NA,NA,39.8
21.01,Kpond,BullFrogTadpole,11/7/2021,ND,0.0716,ND,NA,NA,NA,NA,NA,NA,NA,NA,NA,157.1,NA,NA,NA,NA,79.1,NA,NA,NA,NA,NA,NA,52.9,NA,NA,NA,NA,NA,NA,33.8
21.01,Kpond,BullFrogTadpole,11/7/2021,ND,0.0945,ND,NA,NA,NA,NA,NA,NA,NA,NA,NA,123.9,NA,NA,,NA,110,NA,NA,NA,NA,NA,NA,74.6,NA,NA,NA,NA,NA,NA,33.8
21.01,Kpond,BullFrogTadpole,11/7/2021,ND,0.021,ND,NA,NA,NA,NA,NA,NA,NA,NA,NA,126.9,NA,NA,2.8,NA,108.6,NA,NA,NA,NA,NA,NA,77.1,NA,NA,NA,NA,NA,NA,NA
21.01,Kpond,BullFrogTadpole,11/7/2021,ND,0.0924,ND,NA,NA,NA,NA,17.5,NA,NA,NA,6.5,206.2,NA,NA,2.6,NA,80.9,NA,NA,NA,NA,NA,NA,66.9,NA,NA,NA,NA,NA,NA,23.7
21.01,Kpond,BullFrogTadpole,11/7/2021,ND,0.1569,ND,NA,NA,NA,NA,17.9,NA,NA,NA,7.6,200.8,NA,NA,2.8,NA,71.2,NA,NA,NA,NA,NA,NA,65.2,NA,NA,NA,NA,NA,NA,18.6
21.01,Kpond,BullFrogTadpole,11/7/2021,ND,0.0739,ND,NA,NA,NA,NA,16.2,NA,NA,NA,NA,189,NA,NA,NA,NA,85.4,NA,NA,NA,NA,NA,NA,66.1,NA,NA,NA,NA,NA,NA,34.1
21.01,Kpond,BullFrogTadpole,11/7/2021,ND,0.056,ND,NA,NA,NA,NA,NA,NA,NA,NA,NA,153.7,NA,NA,NA,NA,100.4,NA,NA,NA,NA,NA,NA,64.8,NA,NA,NA,NA,NA,NA,43.4
21.01,Npond,BullFrogTadpole,11/7/2021,ND,0.1065,ND,NA,NA,NA,NA,NA,NA,NA,NA,NA,93.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.5,92,7.5,NA,NA,NA
21.01,Npond,BullFrogTadpole,11/7/2021,ND,0.0846,ND,NA,NA,NA,NA,NA,NA,NA,NA,NA,85.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,73.3,9.5,NA,NA,NA
21.01,Npond,BullFrogTadpole,11/7/2021,ND,0.0721,ND,NA,NA,NA,NA,NA,NA,NA,NA,NA,41.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,80.4,11.1,NA,NA,NA
21.01,Npond,BullFrogTadpole,11/7/2021,ND,0.0739,ND,NA,NA,NA,NA,NA,NA,NA,NA,NA,45.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,83.9,13.5,NA,NA,NA
21.01,Npond,BullFrogTadpole,11/7/2021,ND,0.0689,ND,NA,NA,NA,NA,NA,NA,NA,NA,NA,69,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,72.6,NA,NA,NA,NA
21.01,Npond,BullFrogTadpole,11/7/2021,ND,0.0469,ND,NA,NA,NA,NA,NA,NA,NA,NA,NA,67.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,64,NA,NA,NA,NA
21.01,Npond,BullFrogTadpole,11/7/2021,ND,0.0806,ND,NA,NA,NA,NA,NA,NA,NA,NA,NA,60.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,89.3,9.9,NA,NA,NA
21.01,Npond,BullFrogTadpole,11/7/2021,ND,0.0548,ND,NA,NA,NA,NA,NA,NA,NA,NA,NA,58.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,142.3,21.9,NA,NA,NA
21.01,Npond,BullFrogTadpole,11/7/2021,ND,0.1369,ND,NA,NA,NA,NA,NA,NA,NA,NA,NA,58.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.8,89.1,5.8,NA,NA,NA
21.01,Npond,BullFrogTadpole,11/7/2021,ND,0.1102,ND,NA,NA,NA,NA,NA,NA,NA,NA,NA,81.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.4,78,7.3,NA,NA,NA
23.13,Zpond,BullFrogTadpole,11/8/2021,ND,0.0086,ND,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23.13,Zpond,BullFrogTadpole,11/8/2021,ND,0.0543,ND,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23.13,Zpond,BullFrogTadpole,11/8/2021,ND,0.019,ND,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23.13,Zpond,BullFrogTadpole,11/8/2021,ND,0.0604,ND,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23.13,Zpond,BullFrogTadpole,11/8/2021,ND,0.0554,ND,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23.13,Zpond,BullFrogTadpole,11/8/2021,ND,0.061,ND,NA,NA,NA,NA,NA,NA,NA,NA,NA,20.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23.13,Zpond,BullFrogTadpole,11/8/2021,ND,0.0824,ND,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23.13,Zpond,BullFrogTadpole,11/8/2021,ND,0.0821,ND,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23.13,Zpond,BullFrogTadpole,11/8/2021,ND,0.0794,ND,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23.13,Zpond,BullFrogTadpole,11/8/2021,ND,0.0796,ND,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23.13,Gpond,BullFrogTadpole,11/8/2021,ND,0.205,ND,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.4,NA,NA,NA,NA,NA,NA,NA,NA,6.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23.13,Gpond,BullFrogTadpole,11/8/2021,ND,0.2101,ND,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.1,NA,NA,NA,NA,NA,NA,NA,NA,2.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23.13,Gpond,BullFrogTadpole,11/8/2021,ND,0.2037,ND,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23.13,Gpond,BullFrogTadpole,11/8/2021,ND,0.2065,ND,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.1,NA,NA,NA,NA,NA,NA,NA,NA,7.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23.13,Gpond,BullFrogTadpole,11/8/2021,ND,0.207,ND,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.9,NA,NA,NA,NA,NA,NA,NA,NA,4.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23.13,Gpond,BullFrogTadpole,11/8/2021,ND,0.2031,ND,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23.13,Gpond,BullFrogTadpole,11/8/2021,ND,0.2093,ND,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23.13,Gpond,BullFrogTadpole,11/8/2021,ND,0.2025,ND,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23.13,Gpond,BullFrogTadpole,11/8/2021,ND,0.2037,ND,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23.13,Gpond,BullFrogTadpole,11/8/2021,ND,0.2044,ND,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23.13,Jcpond,BullFrogTadpole,11/8/2021,ND,0.2085,ND,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.7,NA,NA,NA,NA,NA,NA,10,NA,NA,NA,7.4,8.9,NA,NA,NA,NA,NA,NA,NA
23.13,Jcpond,BullFrogTadpole,11/8/2021,ND,0.2,ND,NA,NA,NA,NA,NA,NA,NA,NA,NA,33.3,NA,NA,NA,NA,NA,NA,7.9,NA,NA,NA,7.4,7.4,NA,NA,NA,NA,NA,NA,NA
23.13,Jcpond,BullFrogTadpole,11/8/2021,ND,0.2085,ND,NA,NA,NA,NA,NA,NA,NA,NA,NA,19.1,NA,NA,NA,NA,NA,NA,5.2,NA,NA,NA,4.4,6.7,NA,NA,NA,NA,NA,NA,NA
2.52,Kpond,BullFrogTadpole,11/2/2023, pre-25 ,0.1919,79.04,11.46,55.4,NA,NA,NA,NA,NA,NA,NA,14.7,NA,NA,,NA,24.7,NA,,NA,,1.6,,23.3,NA,NA,NA,NA,NA,NA,
9.06,Npond,BullFrogTadpole,10/26/2023, pre-25 ,0.0792,86.8,13.89,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,,NA,,NA,,NA,NA,11.2,59.6,NA,NA,NA,
9.06,Npond,BullFrogTadpole,10/26/2023, pre-25 ,0.1151,78.45,11.29,NA,NA,NA,NA,NA,NA,NA,NA,18.2,NA,NA,,NA,NA,NA,,NA,,NA,,NA,NA,8.7,62.1,NA,NA,NA,
9.06,Npond,BullFrogTadpole,10/26/2023, pre-25 ,0.1464,77.85,16.39,NA,NA,NA,NA,NA,NA,NA,NA,4.9,NA,NA,,NA,NA,NA,,NA,,NA,,NA,NA,8.2,57.8,NA,NA,NA,
