"Year","Treatment","Response"
"2024","BWF",2.8
"2024","BWF",3.1
"2024","BWF",4.1
"2024","BWF",4.4
"2024","BWF",5.2
"2024","BWF",4.8
"2024","BWF",4.5
"2024","BWF",4.1
"2024","BWF",3.9
"2024","BWF",4
"2024","BWF",3.9
"2024","BWF",4
"2024","BWF",3.8
"2024","BWF",3.8
"2024","BWF",4.1
"2024","BWF",3.9
"2024","BWF",4
"2024","BWG",0.1
"2024","BWG",0.1
"2024","BWG",0.1
"2024","BWG",0.1
"2024","BWG",0.1
"2024","BWG",0.1
"2024","BWG",0.1
"2024","BWG",0.1
"2024","BWG",0.1
"2024","BWG",0.1
"2024","BWG",0.1
"2024","BWG",0.1
"2024","BWG",0.1
"2024","BWG",0.1
"2024","BWG",0.1
"2024","BWG",0.1
"2024","BWG",0.1
"2024","BWG",0.1
"2024","BWG",0.1
"2024","BWG",0.1
"2024","BWG",0.1
"2024","BWG",0.1
"2024","BWG",0.1
"2024","BWG",0.1
"2024","BWG",0.1
"2024","BWG",0.1
"2024","BWG",0.1
"2024","BWG",0.1
"2024","BWG",0.1
"2024","BWG",0.1
"2024","BWG",0.1
"2024","BWG",0.1
"2024","BWG",0.1
"2024","BWG",0.1
"2024","BWG",0.1
"2024","BWG",0.1
"2024","BWG",0.1
"2024","BWG",0.1
"2024","BWG",0.1
"2024","BWG",0.1
"2024","BWG",0.1
"2024","BWG",0.1
"2024","BWG",0.1
"2024","BWG",0.1
"2024","BWG",0.1
"2024","BWG",0.1
"2024","BWG",0.1
"2024","BWG",0.1
"2024","BWG",0.1
"2024","BWG",0.1
"2024","BWG",0.1
"2024","BWG",0.1
"2024","BWG",0.1
"2024","BWG",0.1
"2024","BWG",0.1
"2025","BWF",1.2
"2025","BWF",0.8
"2025","BWF",0.5
"2025","BWF",0.6
"2025","BWF",5.2
"2025","BWF",0.7
"2025","BWF",1.5
"2025","BWG",1.5
"2025","BWG",1.2
"2025","BWG",2.7
"2025","BWG",1.5
"2025","BWG",1.4
"2025","BWG",1
"2025","BWG",1
"2025","BWG",2.7
"2025","BWG",0.9
"2025","BWG",1.2
